date|code|pre_js|open|high|low|close|cur_js|zd_one|zd_two|cj_volume|cc_volume|zj_volume|cj_amount|DELTA|yhbdl|xql
2023-10-20|SA409C1400|344.50    |0.00      |0.00      |0.00      |0.00      |338.50    |-6.00     |-6.00     |0         |0         |0         |0.00        |0.7338    |36.30     |0                              
2023-10-20|SA409C1420|332.00    |0.00      |0.00      |0.00      |0.00      |326.00    |-6.00     |-6.00     |0         |0         |0         |0.00        |0.7196    |36.30     |0                              
2023-10-20|SA409C1440|319.50    |0.00      |0.00      |0.00      |0.00      |313.50    |-6.00     |-6.00     |0         |0         |0         |0.00        |0.7056    |36.30     |0                              
2023-10-20|SA409C1460|308.00    |0.00      |0.00      |0.00      |0.00      |302.50    |-5.50     |-5.50     |0         |0         |0         |0.00        |0.6909    |36.30     |0                              
2023-10-20|SA409C1480|297.00    |0.00      |0.00      |0.00      |0.00      |291.50    |-5.50     |-5.50     |0         |0         |0         |0.00        |0.6761    |36.30     |0                              
2023-10-20|SA409C1500|286.00    |0.00      |0.00      |0.00      |0.00      |280.50    |-5.50     |-5.50     |0         |0         |0         |0.00        |0.6614    |36.30     |0                              
2023-10-20|SA409C1520|275.00    |0.00      |0.00      |0.00      |0.00      |269.50    |-5.50     |-5.50     |0         |0         |0         |0.00        |0.6467    |36.30     |0                              
2023-10-20|SA409C1540|264.50    |0.00      |0.00      |0.00      |0.00      |258.50    |-6.00     |-6.00     |0         |0         |0         |0.00        |0.6321    |36.30     |0                              
2023-10-20|SA409C1560|254.50    |0.00      |0.00      |0.00      |0.00      |249.00    |-5.50     |-5.50     |0         |0         |0         |0.00        |0.6173    |36.30     |0                              
2023-10-20|SA409C1580|245.00    |0.00      |0.00      |0.00      |0.00      |240.00    |-5.00     |-5.00     |0         |0         |0         |0.00        |0.6026    |36.30     |0                              
2023-10-20|SA409C1600|235.50    |0.00      |0.00      |0.00      |0.00      |230.50    |-5.00     |-5.00     |0         |0         |0         |0.00        |0.5879    |36.30     |0                              
2023-10-20|SA409C1620|226.50    |0.00      |0.00      |0.00      |0.00      |221.50    |-5.00     |-5.00     |0         |0         |0         |0.00        |0.5732    |36.30     |0                              
